,id,reponses,cluster_1,cluster_2,Diff
8,q0029,Post graduate degree,0.3691588785046729,0.2572178477690289,0.11194103073564399
45,orientation,Gay/Bisexual,0.15109034267912771,0.03937007874015748,0.11172026393897024
43,age3,35 - 64,0.5031152647975078,0.4041994750656168,0.09891578973189097
39,q0036,iOS Phone / Tablet,0.21962616822429906,0.16010498687664043,0.05952118134765863
0,q0024,Never married,0.16978193146417445,0.11548556430446194,0.054296367159712505
40,q0036,MacOS Desktop / Laptop,0.11838006230529595,0.06561679790026247,0.05276326440503348
3,q0025,"Yes, one or more children under 18",0.1526479750778816,0.10498687664041995,0.04766109843746166
4,q0025,No children,0.3302180685358255,0.29396325459317585,0.03625481394264968
29,q0034,"$75,000-$99,999",0.16043613707165108,0.12860892388451445,0.03182721318713663
1,q0024,Divorced,0.14797507788161993,0.12073490813648294,0.02724016974513699
12,q0030,New York,0.0763239875389408,0.049868766404199474,0.02645522113474133
30,q0034,"$200,000+",0.09190031152647975,0.06824146981627296,0.023658841710206782
33,q0034,"$175,000-$199,999",0.03115264797507788,0.007874015748031496,0.023278632227046386
13,q0030,Illinois,0.045171339563862926,0.023622047244094488,0.02154929231976844
35,q0035,Middle Atlantic,0.15109034267912771,0.13123359580052493,0.019856746878602782
44,age3,18 - 34,0.07320872274143302,0.05511811023622047,0.018090612505212544
38,q0035,New England,0.059190031152647975,0.04199475065616798,0.017195280496479996
46,orientation,Other,0.024922118380062305,0.007874015748031496,0.01704810263203081
17,q0030,Colorado,0.02336448598130841,0.007874015748031496,0.015490470233276914
36,q0035,East North Central,0.1277258566978193,0.11286089238845144,0.014864964309367859
11,q0030,Texas,0.0778816199376947,0.06561679790026247,0.012264822037432233
37,q0035,West South Central,0.09501557632398754,0.08398950131233596,0.011026075011651579
31,q0034,"$125,000-$149,999",0.059190031152647975,0.049868766404199474,0.0093212647484485
6,q0028,Hispanic,0.040498442367601244,0.031496062992125984,0.00900237937547526
20,q0030,South Carolina,0.014018691588785047,0.005249343832020997,0.00876934775676405
41,q0036,Other,0.021806853582554516,0.013123359580052493,0.008683494002502023
10,q0030,California,0.1261682242990654,0.11811023622047244,0.008057988078592968
21,q0030,Kentucky,0.012461059190031152,0.005249343832020997,0.007211715358010155
15,q0030,Wisconsin,0.024922118380062305,0.01837270341207349,0.006549414967988814
7,q0028,Asian,0.021806853582554516,0.015748031496062992,0.006058822086491524
23,q0030,Kansas,0.010903426791277258,0.005249343832020997,0.005654082959256261
22,q0030,New Mexico,0.010903426791277258,0.005249343832020997,0.005654082959256261
2,q0024,Separated,0.01557632398753894,0.010498687664041995,0.005077636323496946
16,q0030,Massachusetts,0.02336448598130841,0.01837270341207349,0.00499178256923492
18,q0030,North Carolina,0.020249221183800622,0.015748031496062992,0.00450118968773763
42,race2,Non-white,0.15109034267912771,0.14698162729658792,0.00410871538253979
5,q0028,Other,0.06074766355140187,0.05774278215223097,0.0030048813991708986
26,q0030,Idaho,0.00778816199376947,0.005249343832020997,0.002538818161748473
25,q0030,Hawaii,0.00778816199376947,0.005249343832020997,0.002538818161748473
14,q0030,Georgia,0.03115264797507788,0.028871391076115485,0.0022812568989623964
32,q0034,"$0-$9,999",0.04672897196261682,0.04461942257217848,0.0021095493904383436
28,q0030,Oklahoma,0.004672897196261682,0.0026246719160104987,0.0020482252802511832
24,q0030,Iowa,0.009345794392523364,0.007874015748031496,0.0014717786444918678
9,q0029,Associate's degree,0.09034267912772585,0.08923884514435695,0.0011038339833688987
27,q0030,New Hampshire,0.006230529595015576,0.005249343832020997,0.0009811857629945788
34,q0035,Pacific,0.19470404984423675,0.1942257217847769,0.0004783280594598538
19,q0030,Indiana,0.018691588785046728,0.01837270341207349,0.000318885372973237
