,q0008,Which of the following do you worry about on a daily or near daily basis?,cluster_1,cluster_2
0,0,Your height,0.04361370716510903,0.02099737532808399
1,1,Your weight,0.6074766355140186,0.46194225721784776
2,2,Your hair or hairline,0.13707165109034267,0.06824146981627296
3,3,Your physique,0.3598130841121495,0.2073490813648294
4,4,Appearance of your genitalia,0.08878504672897196,0.06299212598425197
5,5,Your clothing or style,0.12149532710280374,0.08661417322834646
6,6,Sexual performance or amount of sex,0.24299065420560748,0.16272965879265092
7,7,Your mental health,0.2554517133956386,0.1889763779527559
8,8,Your physical health,0.5623052959501558,0.47506561679790027
9,9,"Your finances, including your current or future income, assets, or debt",0.4937694704049844,0.38320209973753283
10,10,"Your ability to provide for your family, current or anticipated",0.2897196261682243,0.2073490813648294
11,11,None of the above,0.1261682242990654,0.2335958005249344
