,q0030,What state do you live in?,cluster_1,cluster_2
0,0,California,0.1261682242990654,0.11811023622047244
1,1,Texas,0.0778816199376947,0.06561679790026247
2,2,New York,0.0763239875389408,0.049868766404199474
3,3,Florida,0.06230529595015576,0.09711286089238845
4,4,Pennsylvania,0.04672897196261682,0.047244094488188976
5,5,Illinois,0.045171339563862926,0.023622047244094488
6,6,Washington,0.040498442367601244,0.04199475065616798
7,7,Georgia,0.03115264797507788,0.028871391076115485
8,8,Michigan,0.028037383177570093,0.031496062992125984
9,9,New Jersey,0.028037383177570093,0.028871391076115485
10,10,Arizona,0.024922118380062305,0.03674540682414698
11,11,Wisconsin,0.024922118380062305,0.01837270341207349
12,12,Oregon,0.02336448598130841,0.03674540682414698
13,13,Massachusetts,0.02336448598130841,0.01837270341207349
14,14,Colorado,0.02336448598130841,0.007874015748031496
15,15,Virginia,0.021806853582554516,0.023622047244094488
16,16,Ohio,0.021806853582554516,0.023622047244094488
17,17,North Carolina,0.020249221183800622,0.015748031496062992
18,18,Minnesota,0.020249221183800622,0.02099737532808399
19,19,Indiana,0.018691588785046728,0.01837270341207349
20,20,Maryland,0.017133956386292833,0.01837270341207349
21,21,Missouri,0.01557632398753894,0.026246719160104987
22,22,South Carolina,0.014018691588785047,0.005249343832020997
23,23,Kentucky,0.012461059190031152,0.005249343832020997
24,24,New Mexico,0.010903426791277258,0.005249343832020997
25,25,Kansas,0.010903426791277258,0.005249343832020997
26,26,Utah,0.010903426791277258,0.01837270341207349
27,27,Iowa,0.009345794392523364,0.007874015748031496
28,28,Tennessee,0.009345794392523364,0.013123359580052493
29,29,Vermont,0.009345794392523364,
30,30,Delaware,0.00778816199376947,
31,31,Hawaii,0.00778816199376947,0.005249343832020997
32,32,Idaho,0.00778816199376947,0.005249343832020997
33,33,Nevada,0.00778816199376947,0.026246719160104987
34,34,Louisiana,0.00778816199376947,0.010498687664041995
35,35,West Virginia,0.006230529595015576,0.007874015748031496
36,36,Connecticut,0.006230529595015576,0.01837270341207349
37,37,Alabama,0.006230529595015576,0.013123359580052493
38,38,Maine,0.006230529595015576,
39,39,Nebraska,0.006230529595015576,0.007874015748031496
40,40,New Hampshire,0.006230529595015576,0.005249343832020997
41,41,Mississippi,0.004672897196261682,0.007874015748031496
42,42,Oklahoma,0.004672897196261682,0.0026246719160104987
43,43,Montana,0.003115264797507788,0.010498687664041995
44,44,South Dakota,0.001557632398753894,0.0026246719160104987
45,45,Rhode Island,0.001557632398753894,
46,46,Arkansas,0.001557632398753894,0.010498687664041995
47,47,Alaska,0.001557632398753894,
