,q0034,Income,cluster_1,cluster_2
0,0,"$75,000-$99,999",0.16043613707165108,0.12860892388451445
1,1,"$50,000-$74,999",0.14174454828660435,0.18635170603674542
2,2,"$25,000-$49,999",0.13395638629283488,0.14435695538057744
3,3,Prefer not to answer,0.1261682242990654,0.14173228346456693
4,4,"$100,000-$124,999",0.1043613707165109,0.12073490813648294
5,5,"$200,000+",0.09190031152647975,0.06824146981627296
6,6,"$10,000-$24,999",0.06074766355140187,0.06299212598425197
7,7,"$125,000-$149,999",0.059190031152647975,0.049868766404199474
8,8,"$0-$9,999",0.04672897196261682,0.04461942257217848
9,9,"$150,000-$174,999",0.040498442367601244,0.04461942257217848
10,10,"$175,000-$199,999",0.03115264797507788,0.007874015748031496
